ReviewId, ReviewersNum, AveReliability, MimReliability, Status, PatchType
10149, 1, 0.842105, 0.842105, merged, AllInCorrect
10150, 2, 0.667874, 0.463485, merged, NotConsensus
10151, 3, 0.692491, 0.463538, merged, AllCorrect
10152, 2, 0.808006, 0.791011, merged, AllCorrect
10155, 1, 0.625468, 0.625468, merged, AllCorrect
10157, 1, 0.790123, 0.790123, abandoned, AllCorrect
10158, 2, 0.820297, 0.790594, abandoned, AllCorrect
10159, 1, 0.463590, 0.463590, merged, AllCorrect
10160, 3, 0.762146, 0.611111, abandoned, NotConsensus
10161, 1, 0.463977, 0.463977, merged, AllCorrect
10162, 1, 0.464414, 0.464414, merged, AllInCorrect
10163, 3, 0.646303, 0.464799, merged, AllCorrect
10164, 1, 0.464900, 0.464900, merged, AllCorrect
10165, 1, 0.464950, 0.464950, merged, AllCorrect
10166, 1, 0.465000, 0.465000, merged, AllCorrect
10167, 3, 0.640625, 0.464668, merged, NotConsensus
10168, 1, 0.826446, 0.826446, merged, AllCorrect
10170, 2, 0.627442, 0.464057, merged, NotConsensus
10171, 1, 0.818182, 0.818182, merged, AllCorrect
10173, 1, 0.872727, 0.872727, merged, AllInCorrect
10174, 1, 0.463727, 0.463727, merged, AllCorrect
10175, 1, 0.464108, 0.464108, merged, AllCorrect
10181, 3, 0.381720, 0.000000, merged, AllCorrect
10185, 1, 0.850000, 0.850000, merged, AllInCorrect
10186, 6, 0.739991, 0.464489, merged, AllCorrect
10187, 5, 0.620616, 0.000000, merged, AllCorrect
10188, 1, 0.465248, 0.465248, abandoned, AllInCorrect
10197, 1, 0.880952, 0.880952, abandoned, AllCorrect
10198, 2, 0.673192, 0.464918, abandoned, NotConsensus
10200, 7, 0.771506, 0.464589, merged, NotConsensus
10203, 2, 0.790263, 0.765432, merged, AllInCorrect
10208, 4, 0.723266, 0.464639, merged, AllCorrect
10209, 1, 0.730769, 0.730769, merged, AllCorrect
10210, 3, 0.700197, 0.465018, merged, NotConsensus
